mode,setting,seed,Web,BruteForce,Spoofing,Benign
iid,FedAvg IID,123,0.06289565039820298,0.3359173126614987,0.6872027328866115,0.7987283327903659
iid,FedAvg IID,2026,0.06330645161290323,0.3394881762228701,0.6833013688699079,0.7967362589390591
iid,FedAvg IID,3407,0.0,0.34160489848533676,0.6831562216763651,0.796582502071177
dirichlet_03,FedAvg α=0.3,123,0.08958912573370405,0.2554820744865994,0.24448115332632528,0.7141329795108258
dirichlet_03,FedAvg α=0.3,2026,0.0937062937062937,0.2513089005235602,0.24804962590776053,0.7163876150193937
dirichlet_03,FedAvg α=0.3,3407,0.08687911696635214,0.2120671188861121,0.2203214205896097,0.7156850575581113
dirichlet_01,FedAvg α=0.1,123,0.020004167534903104,0.0,0.0008023106546854943,0.0
dirichlet_01,FedAvg α=0.1,2026,0.0,0.0,0.0,0.0
dirichlet_01,FedAvg α=0.1,3407,0.06662628709872805,0.0,0.0,0.0
