mode,setting,seed,accuracy,f1_macro,f1_weighted
iid,FedAvg IID,123,0.8283488029486096,0.6268973620321295,0.8122294804112177
iid,FedAvg IID,2026,0.828255016447153,0.6272010854285668,0.8126910490191541
iid,FedAvg IID,3407,0.8280574458983997,0.6186279861586065,0.8115567534279693
dirichlet_03,FedAvg α=0.3,123,0.8017684230371068,0.533915398277903,0.7802375883364141
dirichlet_03,FedAvg α=0.3,2026,0.7959929360197533,0.5173840252047404,0.7523180440093893
dirichlet_03,FedAvg α=0.3,3407,0.7970717188233079,0.5247933436753396,0.7767875406647238
dirichlet_01,FedAvg α=0.1,123,0.7707222346133604,0.34647990299038955,0.7231247383950762
dirichlet_01,FedAvg α=0.1,2026,0.7653218936018324,0.33508941387599617,0.7082175293002629
dirichlet_01,FedAvg α=0.1,3407,0.7657432187479692,0.34340861169143067,0.7083243413691347
